,0,1,accuracy,macro avg,weighted avg
precision,0.8845822566752799,0.967741935483871,0.8992193044712562,0.9261620960795754,0.9066558690772764
recall,0.9922705314009662,0.6417112299465241,0.8992193044712562,0.8169908806737451,0.8992193044712562
f1-score,0.9353369763205829,0.7717041800643089,0.8992193044712562,0.8535205781924459,0.8919028629069232
support,1035.0,374.0,0.8992193044712562,1409.0,1409.0
